sample_index_zero_based,sepal_length,sepal_width,petal_length,petal_width,synthetic_low_1,synthetic_low_2,synthetic_low_3,synthetic_low_4,synthetic_low_5,synthetic_low_6,synthetic_low_7,synthetic_low_8,target_code,target_label
20,5.4000000000000004,3.3999999999999999,1.7,0.20000000000000001,2,1,1,2,1,1,2,2,0,setosa
21,5.0999999999999996,3.7000000000000002,1.5,0.40000000000000002,1,2,2,1,1,2,2,1,0,setosa
22,4.5999999999999996,3.6000000000000001,1,0.20000000000000001,2,2,2,2,1,1,2,1,0,setosa
23,5.0999999999999996,3.2999999999999998,1.7,0.5,2,1,2,2,2,2,1,2,0,setosa
24,4.7999999999999998,3.3999999999999999,1.8999999999999999,0.20000000000000001,2,2,1,2,1,2,2,2,0,setosa
25,5,3,1.6000000000000001,0.20000000000000001,2,1,1,1,2,1,1,2,0,setosa
26,5,3.3999999999999999,1.6000000000000001,0.40000000000000002,1,2,2,2,1,2,1,2,0,setosa
27,5.2000000000000002,3.5,1.5,0.20000000000000001,1,1,1,2,1,1,2,1,0,setosa
28,5.2000000000000002,3.3999999999999999,1.3999999999999999,0.20000000000000001,1,1,1,1,2,2,1,1,0,setosa
29,4.7000000000000002,3.2000000000000002,1.6000000000000001,0.20000000000000001,2,1,2,1,2,2,2,2,0,setosa
30,4.7999999999999998,3.1000000000000001,1.6000000000000001,0.20000000000000001,2,1,1,2,2,2,2,1,0,setosa
31,5.4000000000000004,3.3999999999999999,1.5,0.40000000000000002,2,2,1,2,2,1,1,2,0,setosa
32,5.2000000000000002,4.0999999999999996,1.5,0.10000000000000001,2,1,2,2,1,1,2,1,0,setosa
33,5.5,4.2000000000000002,1.3999999999999999,0.20000000000000001,2,2,1,1,2,1,1,1,0,setosa
34,4.9000000000000004,3.1000000000000001,1.5,0.20000000000000001,2,1,1,2,1,1,1,1,0,setosa
35,5,3.2000000000000002,1.2,0.20000000000000001,1,2,2,1,2,1,2,1,0,setosa
36,5.5,3.5,1.3,0.20000000000000001,2,1,2,1,2,2,1,2,0,setosa
37,4.9000000000000004,3.6000000000000001,1.3999999999999999,0.10000000000000001,1,1,1,2,2,1,2,1,0,setosa
38,4.4000000000000004,3,1.3,0.20000000000000001,1,2,1,1,2,2,1,2,0,setosa
39,5.0999999999999996,3.3999999999999999,1.5,0.20000000000000001,1,2,2,2,2,2,1,2,0,setosa
40,5,3.5,1.3,0.29999999999999999,2,2,2,2,2,1,1,2,0,setosa
41,4.5,2.2999999999999998,1.3,0.29999999999999999,1,2,2,2,2,1,2,1,0,setosa
42,4.4000000000000004,3.2000000000000002,1.3,0.20000000000000001,2,2,1,2,1,1,1,2,0,setosa
43,5,3.5,1.6000000000000001,0.59999999999999998,2,1,2,2,2,1,2,1,0,setosa
44,5.0999999999999996,3.7999999999999998,1.8999999999999999,0.40000000000000002,2,2,1,2,2,2,1,1,0,setosa
45,4.7999999999999998,3,1.3999999999999999,0.29999999999999999,1,2,2,1,1,1,2,2,0,setosa
46,5.0999999999999996,3.7999999999999998,1.6000000000000001,0.20000000000000001,2,1,2,2,1,2,2,1,0,setosa
47,4.5999999999999996,3.2000000000000002,1.3999999999999999,0.20000000000000001,2,1,1,2,2,2,2,1,0,setosa
48,5.2999999999999998,3.7000000000000002,1.5,0.20000000000000001,1,1,2,2,1,1,1,1,0,setosa
49,5,3.2999999999999998,1.3999999999999999,0.20000000000000001,1,2,1,2,1,2,2,1,0,setosa
50,7,3.2000000000000002,4.7000000000000002,1.3999999999999999,1,1,2,1,2,1,2,2,1,versicolor
51,6.4000000000000004,3.2000000000000002,4.5,1.5,2,2,1,1,1,1,1,1,1,versicolor
52,6.9000000000000004,3.1000000000000001,4.9000000000000004,1.5,1,2,1,2,1,2,1,1,1,versicolor
53,5.5,2.2999999999999998,4,1.3,1,2,1,2,2,1,2,1,1,versicolor
54,6.5,2.7999999999999998,4.5999999999999996,1.5,2,2,2,2,1,2,1,1,1,versicolor
55,5.7000000000000002,2.7999999999999998,4.5,1.3,2,2,2,1,1,2,1,1,1,versicolor
56,6.2999999999999998,3.2999999999999998,4.7000000000000002,1.6000000000000001,1,2,1,1,1,2,2,2,1,versicolor
57,4.9000000000000004,2.3999999999999999,3.2999999999999998,1,2,1,2,1,1,2,1,1,1,versicolor
58,6.5999999999999996,2.8999999999999999,4.5999999999999996,1.3,2,1,1,1,2,1,2,2,1,versicolor
59,5.2000000000000002,2.7000000000000002,3.8999999999999999,1.3999999999999999,2,2,2,2,1,2,2,1,1,versicolor
60,5,2,3.5,1,2,1,1,2,2,2,2,1,1,versicolor
61,5.9000000000000004,3,4.2000000000000002,1.5,2,1,1,2,2,1,2,2,1,versicolor
62,6,2.2000000000000002,4,1,1,1,1,2,1,2,2,1,1,versicolor
63,6.0999999999999996,2.8999999999999999,4.7000000000000002,1.3999999999999999,2,1,1,1,2,1,1,2,1,versicolor
64,5.5999999999999996,2.8999999999999999,3.6000000000000001,1.3,1,1,1,1,2,1,2,2,1,versicolor
65,6.7000000000000002,3.1000000000000001,4.4000000000000004,1.3999999999999999,2,1,1,2,1,2,1,1,1,versicolor
66,5.5999999999999996,3,4.5,1.5,1,1,1,1,1,2,2,1,1,versicolor
67,5.7999999999999998,2.7000000000000002,4.0999999999999996,1,2,1,2,2,1,1,2,2,1,versicolor
68,6.2000000000000002,2.2000000000000002,4.5,1.5,1,1,1,1,2,1,1,1,1,versicolor
69,5.5999999999999996,2.5,3.8999999999999999,1.1000000000000001,1,1,1,2,2,1,2,1,1,versicolor
70,5.9000000000000004,3.2000000000000002,4.7999999999999998,1.8,2,1,1,1,2,2,1,2,1,versicolor
71,6.0999999999999996,2.7999999999999998,4,1.3,1,2,2,1,1,1,1,2,1,versicolor
72,6.2999999999999998,2.5,4.9000000000000004,1.5,1,1,1,2,2,1,2,2,1,versicolor
73,6.0999999999999996,2.7999999999999998,4.7000000000000002,1.2,2,1,2,2,1,1,1,1,1,versicolor
74,6.4000000000000004,2.8999999999999999,4.2999999999999998,1.3,2,2,1,1,2,2,1,2,1,versicolor
75,6.5999999999999996,3,4.4000000000000004,1.3999999999999999,2,2,1,1,1,2,2,2,1,versicolor
76,6.7999999999999998,2.7999999999999998,4.7999999999999998,1.3999999999999999,1,2,1,2,1,2,1,2,1,versicolor
77,6.7000000000000002,3,5,1.7,1,2,1,2,1,2,1,1,1,versicolor
78,6,2.8999999999999999,4.5,1.5,1,1,2,1,2,1,2,2,1,versicolor
79,5.7000000000000002,2.6000000000000001,3.5,1,1,2,2,1,1,2,2,2,1,versicolor
80,5.5,2.3999999999999999,3.7999999999999998,1.1000000000000001,1,1,2,1,1,1,2,2,1,versicolor
81,5.5,2.3999999999999999,3.7000000000000002,1,1,1,2,1,1,2,1,2,1,versicolor
82,5.7999999999999998,2.7000000000000002,3.8999999999999999,1.2,1,1,2,1,1,2,2,1,1,versicolor
83,6,2.7000000000000002,5.0999999999999996,1.6000000000000001,2,2,1,1,1,1,1,2,1,versicolor
84,5.4000000000000004,3,4.5,1.5,2,1,2,1,1,1,1,2,1,versicolor
85,6,3.3999999999999999,4.5,1.6000000000000001,2,2,2,2,1,1,2,1,1,versicolor
86,6.7000000000000002,3.1000000000000001,4.7000000000000002,1.5,2,2,1,2,1,1,2,1,1,versicolor
87,6.2999999999999998,2.2999999999999998,4.4000000000000004,1.3,1,1,1,1,1,1,2,1,1,versicolor
88,5.5999999999999996,3,4.0999999999999996,1.3,2,2,1,1,2,1,2,2,1,versicolor
89,5.5,2.5,4,1.3,2,2,1,2,1,2,1,1,1,versicolor
90,5.5,2.6000000000000001,4.4000000000000004,1.2,2,2,2,1,2,1,1,1,1,versicolor
91,6.0999999999999996,3,4.5999999999999996,1.3999999999999999,1,2,2,2,2,1,1,1,1,versicolor
92,5.7999999999999998,2.6000000000000001,4,1.2,1,1,2,2,2,2,1,1,1,versicolor
93,5,2.2999999999999998,3.2999999999999998,1,1,2,2,1,2,1,1,2,1,versicolor
94,5.5999999999999996,2.7000000000000002,4.2000000000000002,1.3,1,2,1,1,2,2,1,2,1,versicolor
95,5.7000000000000002,3,4.2000000000000002,1.2,2,2,2,2,2,1,2,2,1,versicolor
96,5.7000000000000002,2.8999999999999999,4.2000000000000002,1.3,1,2,2,1,1,2,2,1,1,versicolor
97,6.2000000000000002,2.8999999999999999,4.2999999999999998,1.3,2,2,2,2,2,2,1,1,1,versicolor
98,5.0999999999999996,2.5,3,1.1000000000000001,1,1,2,1,1,2,2,1,1,versicolor
99,5.7000000000000002,2.7999999999999998,4.0999999999999996,1.3,2,1,1,2,2,1,1,2,1,versicolor
100,6.2999999999999998,3.2999999999999998,6,2.5,1,2,1,2,1,2,1,1,2,virginica
101,5.7999999999999998,2.7000000000000002,5.0999999999999996,1.8999999999999999,1,1,1,1,2,2,2,2,2,virginica
102,7.0999999999999996,3,5.9000000000000004,2.1000000000000001,2,2,1,1,1,2,2,2,2,virginica
103,6.2999999999999998,2.8999999999999999,5.5999999999999996,1.8,2,2,2,2,1,1,1,2,2,virginica
104,6.5,3,5.7999999999999998,2.2000000000000002,2,2,1,2,2,1,2,2,2,virginica
105,7.5999999999999996,3,6.5999999999999996,2.1000000000000001,2,2,1,1,1,1,1,2,2,virginica
106,4.9000000000000004,2.5,4.5,1.7,1,1,1,2,2,1,1,2,2,virginica
107,7.2999999999999998,2.8999999999999999,6.2999999999999998,1.8,1,1,1,2,2,2,1,2,2,virginica
108,6.7000000000000002,2.5,5.7999999999999998,1.8,1,1,1,2,1,2,1,1,2,virginica
109,7.2000000000000002,3.6000000000000001,6.0999999999999996,2.5,2,1,2,1,1,2,2,1,2,virginica
110,6.5,3.2000000000000002,5.0999999999999996,2,2,1,1,1,1,1,1,2,2,virginica
111,6.4000000000000004,2.7000000000000002,5.2999999999999998,1.8999999999999999,2,1,2,2,1,2,1,2,2,virginica
112,6.7999999999999998,3,5.5,2.1000000000000001,1,1,1,2,1,2,2,2,2,virginica
113,5.7000000000000002,2.5,5,2,1,1,1,2,1,1,2,2,2,virginica
114,5.7999999999999998,2.7999999999999998,5.0999999999999996,2.3999999999999999,2,1,2,1,2,1,1,1,2,virginica
115,6.4000000000000004,3.2000000000000002,5.2999999999999998,2.2999999999999998,2,1,1,1,2,2,1,2,2,virginica
116,6.5,3,5.5,1.8,2,2,1,2,1,1,2,1,2,virginica
117,7.7000000000000002,3.7999999999999998,6.7000000000000002,2.2000000000000002,2,2,2,1,1,1,1,1,2,virginica
118,7.7000000000000002,2.6000000000000001,6.9000000000000004,2.2999999999999998,2,2,2,1,1,2,1,1,2,virginica
119,6,2.2000000000000002,5,1.5,1,1,2,2,2,1,2,1,2,virginica
120,6.9000000000000004,3.2000000000000002,5.7000000000000002,2.2999999999999998,1,2,1,2,2,2,2,1,2,virginica
121,5.5999999999999996,2.7999999999999998,4.9000000000000004,2,1,1,2,1,1,1,2,2,2,virginica
122,7.7000000000000002,2.7999999999999998,6.7000000000000002,2,1,1,1,1,1,2,2,2,2,virginica
123,6.2999999999999998,2.7000000000000002,4.9000000000000004,1.8,1,1,2,1,2,1,1,2,2,virginica
124,6.7000000000000002,3.2999999999999998,5.7000000000000002,2.1000000000000001,1,2,2,2,1,1,2,2,2,virginica
125,7.2000000000000002,3.2000000000000002,6,1.8,1,1,2,1,2,1,2,1,2,virginica
126,6.2000000000000002,2.7999999999999998,4.7999999999999998,1.8,1,1,2,2,2,1,1,2,2,virginica
127,6.0999999999999996,3,4.9000000000000004,1.8,1,2,2,1,1,2,2,1,2,virginica
128,6.4000000000000004,2.7999999999999998,5.5999999999999996,2.1000000000000001,1,1,1,1,1,1,2,2,2,virginica
129,7.2000000000000002,3,5.7999999999999998,1.6000000000000001,1,1,2,2,1,2,2,2,2,virginica
130,7.4000000000000004,2.7999999999999998,6.0999999999999996,1.8999999999999999,2,2,1,2,1,1,1,1,2,virginica
131,7.9000000000000004,3.7999999999999998,6.4000000000000004,2,1,2,2,2,1,2,1,2,2,virginica
132,6.4000000000000004,2.7999999999999998,5.5999999999999996,2.2000000000000002,2,2,2,1,1,2,2,1,2,virginica
133,6.2999999999999998,2.7999999999999998,5.0999999999999996,1.5,1,2,2,2,1,1,2,2,2,virginica
134,6.0999999999999996,2.6000000000000001,5.5999999999999996,1.3999999999999999,2,2,2,1,1,1,2,1,2,virginica
135,7.7000000000000002,3,6.0999999999999996,2.2999999999999998,2,1,1,2,2,2,1,1,2,virginica
136,6.2999999999999998,3.3999999999999999,5.5999999999999996,2.3999999999999999,2,2,2,2,1,2,2,2,2,virginica
137,6.4000000000000004,3.1000000000000001,5.5,1.8,2,1,2,1,1,1,2,2,2,virginica
138,6,3,4.7999999999999998,1.8,1,2,2,1,2,2,1,1,2,virginica
139,6.9000000000000004,3.1000000000000001,5.4000000000000004,2.1000000000000001,2,1,2,1,1,1,2,2,2,virginica
140,6.7000000000000002,3.1000000000000001,5.5999999999999996,2.3999999999999999,2,2,1,2,1,1,2,1,2,virginica
141,6.9000000000000004,3.1000000000000001,5.0999999999999996,2.2999999999999998,1,1,1,1,1,2,2,1,2,virginica
142,5.7999999999999998,2.7000000000000002,5.0999999999999996,1.8999999999999999,1,1,2,2,1,2,1,1,2,virginica
143,6.7999999999999998,3.2000000000000002,5.9000000000000004,2.2999999999999998,1,2,1,1,1,1,2,2,2,virginica
144,6.7000000000000002,3.2999999999999998,5.7000000000000002,2.5,1,1,2,1,2,2,1,2,2,virginica
145,6.7000000000000002,3,5.2000000000000002,2.2999999999999998,2,1,2,2,1,1,2,1,2,virginica
146,6.2999999999999998,2.5,5,1.8999999999999999,2,1,2,2,2,1,2,2,2,virginica
147,6.5,3,5.2000000000000002,2,2,1,2,2,1,2,1,1,2,virginica
148,6.2000000000000002,3.3999999999999999,5.4000000000000004,2.2999999999999998,2,2,1,2,1,2,2,2,2,virginica
149,5.9000000000000004,3,5.0999999999999996,1.8,2,2,2,1,2,2,1,1,2,virginica
