experiment_id,scenario,low_count,interaction_order,member_index_zero_based,member_name,additive_value,exact_shapley_value
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,1,high_2,0.23999999999999999,0.23999999999999999
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,2,high_3,0.17000000000000001,0.17000000000000001
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,3,hidden_interaction_1,0,0.059999999999999998
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,4,hidden_interaction_2,0,0.059999999999999998
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,5,hidden_interaction_3,0,0.059999999999999998
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,6,low_1,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,7,low_2,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,8,low_3,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,9,low_4,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,10,low_5,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,11,low_6,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,12,low_7,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,13,low_8,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,14,low_9,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,15,low_10,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,16,low_11,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,17,low_12,0.0053846153846153766,0.0053846153846153766
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,18,low_13,0.0053846153846153766,0.0053846153846153766
G1_balanced_interaction,balanced_interaction,0,0,0,ordinary_1,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,1,ordinary_2,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,2,ordinary_3,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,3,ordinary_4,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,4,ordinary_5,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,5,ordinary_6,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,6,ordinary_7,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,7,ordinary_8,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,8,ordinary_9,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,9,ordinary_10,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,10,ordinary_11,0.05333333333333333,0.083333333333333329
G1_balanced_interaction,balanced_interaction,0,0,11,ordinary_12,0.05333333333333333,0.083333333333333329
