sample_id,spam_feature_1,spam_feature_2,spam_feature_3,spam_feature_4,spam_feature_5,spam_feature_6,spam_feature_7,spam_feature_8,spam_feature_9,spam_feature_10,spam_feature_11,spam_feature_12,spam_feature_13,spam_feature_14,spam_feature_15,spam_feature_16,spam_feature_17,spam_feature_18,spam_feature_19,spam_feature_20,spam_feature_21,spam_feature_22,spam_feature_23,spam_feature_24,spam_feature_25,spam_feature_26,spam_feature_27,spam_feature_28,spam_feature_29,spam_feature_30,spam_feature_31,spam_feature_32,spam_feature_33,spam_feature_34,spam_feature_35,spam_feature_36,spam_feature_37,spam_feature_38,spam_feature_39,spam_feature_40,spam_feature_41,spam_feature_42,spam_feature_43,spam_feature_44,spam_feature_45,spam_feature_46,spam_feature_47,spam_feature_48,spam_feature_49,spam_feature_50,spam_feature_51,spam_feature_52,spam_feature_53,spam_feature_54,spam_feature_55,spam_feature_56,spam_feature_57,target
13,1,1,1,1,3,1,2,1,1,3,2,1,2,1,1,1,1,1,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1
14,1,1,5,1,3,2,1,2,1,2,1,2,1,1,1,3,1,1,7,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,3,6,7,1
15,1,2,3,1,4,1,2,1,1,3,1,1,1,1,1,3,1,1,4,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,8,8,7,1
16,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,8,6,5,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,9,8,8,1
18,1,1,4,1,4,1,1,1,1,1,1,1,2,1,1,1,2,2,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,4,1
19,1,2,1,1,4,2,1,1,1,1,1,3,1,1,1,2,2,3,5,1,5,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,7,8,6,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,4,1,1,7,3,1,1
21,1,1,2,1,3,1,1,1,2,1,1,3,1,1,1,1,1,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,5,8,9,1
22,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,5,1,1,8,4,2,1
23,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,0,2,4,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,3,3,1,8,6,4,1
25,1,1,2,1,3,1,1,1,2,1,1,3,1,1,1,1,1,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,5,8,9,1
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,3,3,1,8,6,4,1
27,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,4,3,1
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,1,1,7,4,2,1
29,1,1,1,1,3,1,2,1,1,1,2,3,1,1,1,2,3,1,3,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,8,5,1
30,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,3,3,3,1
31,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,7,4,2,1
32,1,1,1,1,4,2,1,1,1,1,1,4,1,1,1,1,1,1,7,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,1
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,1
34,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,7,6,7,1
35,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,6,2,1,1
36,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,5,1,1,7,4,2,1
37,1,1,3,1,4,1,2,1,1,1,1,5,1,1,1,2,3,1,6,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,4,1,8,8,7,1
38,1,2,3,1,2,1,1,1,1,1,1,5,1,1,1,2,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,6,8,6,1
39,1,2,5,1,2,1,1,1,1,1,1,2,1,1,1,2,1,3,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,5,1,1,7,9,7,1
40,2,1,1,1,3,3,1,2,1,1,1,2,2,1,1,1,1,2,6,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,6,7,1
41,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,4,1,1,7,4,2,1
42,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,4,1,1,7,4,2,1
43,1,1,4,1,4,1,1,1,1,1,1,2,2,1,1,1,2,2,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,4,1
44,1,1,1,1,2,1,1,2,1,1,2,3,1,1,1,1,3,2,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,2,4,7,7,1
45,2,2,5,1,2,1,1,2,2,2,1,4,1,1,1,1,1,1,8,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,2,1,8,9,9,1
46,2,1,2,1,4,3,1,1,1,1,1,3,1,1,1,1,3,1,8,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,4,8,1
47,3,1,5,1,1,3,1,1,1,3,2,6,2,1,1,3,3,1,7,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,2,3,4,1
48,3,1,3,1,1,2,1,1,2,2,2,5,2,1,1,1,2,1,7,1,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,2,8,9,9,1
49,3,2,2,1,1,2,1,2,1,3,2,4,2,1,1,1,1,2,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,2,7,7,9,1
50,1,2,1,1,4,1,1,1,1,1,1,6,1,1,1,1,1,1,5,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,1
51,3,1,5,1,1,3,2,2,2,2,1,2,1,1,1,3,2,2,5,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,4,1,6,6,6,1
52,1,1,4,1,1,2,2,1,1,1,1,3,1,1,1,1,1,2,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,7,9,1
53,1,2,1,1,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,2,4,1,7,5,4,1
54,3,1,4,1,1,3,2,2,2,2,1,2,1,1,1,3,2,2,5,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,4,1,6,6,6,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,6,5,1
56,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,3,1,7,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,2,2,6,8,6,1
57,1,1,5,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,3,1
58,1,2,3,1,2,1,1,1,1,1,1,3,1,1,1,2,1,3,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,6,8,6,1
59,1,2,5,1,2,1,1,1,1,1,1,3,1,1,1,2,1,3,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,1,1,7,9,7,1
60,1,2,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,8,7,1
61,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,8,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,4,3,1
62,1,1,3,1,4,1,2,2,1,1,2,4,1,1,1,3,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,1
63,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,2,1,3,7,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,1
64,2,1,2,1,4,3,1,2,1,1,2,4,1,1,1,1,1,1,8,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,6,1
65,3,1,4,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,6,7,5,1
66,1,2,3,1,4,1,2,1,1,3,2,1,1,1,1,2,1,1,3,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,1,8,7,6,1
67,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,8,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
68,2,1,4,1,1,1,1,1,1,3,2,4,1,1,1,3,3,1,8,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,4,2,7,8,7,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,8,8,6,1
70,1,1,1,1,4,1,2,2,2,3,2,5,1,1,1,1,3,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,9,9,7,1
71,1,2,3,1,3,1,1,1,1,1,1,3,1,1,1,2,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,7,8,6,1
72,1,2,5,1,2,1,1,1,1,1,1,3,1,1,1,2,1,3,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,5,1,1,7,9,7,1
73,1,2,3,1,2,3,2,1,1,1,2,3,1,1,1,3,1,3,6,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,4,1,4,4,5,1
74,1,1,3,1,4,1,2,1,1,1,1,4,1,1,1,2,3,1,6,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,4,1,8,8,7,1
75,1,2,5,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,9,9,7,1
76,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,8,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,5,5,5,1
77,3,1,3,1,1,2,1,1,2,1,2,6,2,1,1,2,2,2,6,1,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,2,7,7,9,1
78,1,2,2,1,4,2,1,1,1,3,1,1,1,1,1,3,2,1,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,5,6,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,1
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,7,6,5,1
81,1,1,2,1,1,1,1,1,1,3,1,3,1,1,1,1,3,1,6,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,8,9,8,1
82,1,2,4,1,1,1,1,2,1,1,2,1,1,1,1,3,1,3,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,3,3,1
83,1,1,5,1,4,3,1,1,1,1,1,1,1,1,1,3,1,1,6,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,6,3,2,1
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,8,6,5,1
85,1,2,3,1,4,1,2,2,1,3,2,1,1,1,1,3,1,1,3,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,1,8,8,7,1
86,1,1,3,1,4,3,1,1,1,1,1,2,2,1,1,2,1,2,6,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,5,6,1
87,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,3,1,1,6,6,5,1
88,1,1,3,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,7,9,9,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,7,6,2,1
90,1,2,5,1,4,1,2,1,1,1,1,3,2,1,1,2,3,1,7,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,4,1,8,9,6,1
91,3,1,3,1,1,2,1,1,2,2,2,5,2,1,1,1,2,1,7,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,2,9,9,9,1
92,3,2,2,1,1,1,1,1,2,2,2,4,2,1,1,1,2,1,7,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,2,9,9,9,1
93,3,2,2,1,1,1,1,1,2,2,2,4,2,1,1,1,2,1,7,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,2,9,9,9,1
94,3,1,3,1,1,1,1,2,1,1,1,5,1,1,1,1,2,2,6,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,4,1,7,4,5,1
95,1,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,7,4,1
96,1,1,4,1,2,1,1,1,1,1,1,4,1,1,1,3,1,3,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,5,1,1,7,8,7,1
97,1,2,3,1,2,1,1,1,1,1,1,3,1,1,1,2,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,6,8,7,1
98,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,3,1,1,8,5,6,1
99,3,2,5,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,7,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,4,1,6,5,5,1
100,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,3,1,1,8,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1
101,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,1,1,9,9,7,1
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,6,1,5,1,1,8,6,3,1
103,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,1,1,9,9,7,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,6,1,5,1,1,8,6,3,1
105,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,1,1,9,9,7,1
106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,6,1,5,1,1,8,6,3,1
107,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,5,2,4,1,1,8,6,6,1
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,6,1,5,1,1,8,6,3,1
109,1,1,1,1,1,1,2,1,1,3,1,6,1,1,1,1,1,1,7,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,4,1
